이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
백승현,0.05,9,30,23,2,5,1,0,0,6,1,0,1,5,1,0,6,0,1,0,0.217,0.379,0.261,0.64,0.312,76.9,0.05,0
정찬헌,0.05,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,0.927,486.1,0.05,0.05
윤진호,0.01,14,3,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.309,73.2,0.01,-0.13
유재유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
진해수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
윤지웅,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김대현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
고우석,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최동환,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이동현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
신정락,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김지용,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
차우찬,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최형우,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.45,0.576,1.026,0.442,163.5,6.66,5.45
버나디나,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,0.32,0.372,0.54,0.913,0.39,128.4,5.12,3.83
김선빈,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,0.37,0.42,0.477,0.897,0.399,134,4.96,1.92
안치홍,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,0.316,0.373,0.513,0.886,0.382,123,4.39,3.8
나지완,3.53,137,551,459,85,138,20,3,27,245,94,1,1,62,23,0,105,10,0,7,0.301,0.405,0.534,0.939,0.409,140.8,3.53,3
이범호,3,115,447,382,57,104,14,0,25,193,89,0,0,52,7,3,81,9,0,6,0.272,0.365,0.505,0.87,0.375,118.1,3,2.29
김주찬,2.35,122,478,440,78,136,39,2,12,215,70,9,2,31,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.372,116,2.35,2
이명기,2.33,115,512,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,0.332,0.372,0.459,0.831,0.361,108.7,2.33,0.76
서동욱,0.58,125,366,319,49,90,21,1,7,134,48,1,1,33,3,0,86,5,8,3,0.282,0.352,0.42,0.772,0.339,93.9,0.58,1.08
최원준,0.56,72,174,156,27,48,15,0,3,72,27,3,2,10,2,0,20,2,3,3,0.308,0.351,0.462,0.812,0.352,102.8,0.56,0.33
