이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
손아섭,6.26,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,0.362,0.456,0.538,0.994,0.443,154.6,4.18,60000
신본기,0.04,63,130,113,20,26,6,1,4,46,13,1,1,5,4,0,25,0,6,2,0.23,0.282,0.407,0.689,0.289,52.7,-0.45,5000
용덕한,0.28,59,92,82,13,25,5,0,1,33,11,0,1,3,1,0,22,4,3,3,0.305,0.326,0.402,0.728,0.316,73.4,-0.42,6500
임종혁,0.02,21,25,18,3,4,0,0,0,4,1,2,2,5,1,0,8,0,1,0,0.222,0.417,0.222,0.639,0.33,85,-0.28,2500
장성우,0.52,43,99,84,10,23,4,0,1,30,9,0,0,12,1,0,19,1,0,2,0.274,0.364,0.357,0.721,0.339,88.3,-1.09,5500
전준우,2.24,113,470,415,69,121,23,2,14,190,66,7,4,34,9,0,71,10,9,3,0.292,0.356,0.458,0.814,0.357,97.8,1.37,16000
정훈,3.32,124,558,477,89,140,27,7,3,190,58,8,4,62,11,0,105,10,6,2,0.294,0.386,0.398,0.784,0.362,103.6,1.37,21000
최준석,2.44,121,460,371,54,106,13,0,23,188,90,1,0,81,2,3,88,14,0,6,0.286,0.411,0.507,0.918,0.405,128,3.3,40000
하준호,0.16,31,88,73,18,17,5,0,1,25,11,1,1,8,6,0,29,0,1,0,0.233,0.356,0.342,0.699,0.331,83.1,0.19,2400
황동채,-0.06,12,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,0.188,-8.8,-0.05,3500
황재균,3.98,128,550,486,66,156,33,3,12,231,76,17,10,53,3,0,86,8,4,4,0.321,0.388,0.475,0.864,0.386,117.4,1.17,50000
김상수,3.16,128,493,427,74,123,20,8,5,174,63,53,6,41,7,1,77,7,10,8,0.288,0.354,0.407,0.762,0.339,86.9,1.4,31000
김태완,0.91,65,108,95,14,33,7,0,2,46,15,0,0,8,4,0,17,4,1,0,0.347,0.421,0.484,0.905,0.409,130.5,0.29,6000
김헌곤,0.56,76,143,123,17,32,5,3,3,52,20,2,2,13,6,0,20,1,1,0,0.26,0.359,0.423,0.782,0.354,96.7,0.47,2500
나바로,6.23,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,0.308,0.417,0.552,0.969,0.424,139.2,4.26,70000
박석민,4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12,3,62,12,0,3,0.315,0.419,0.601,1.02,0.438,147.7,2.78,37000
박찬도,0.12,28,8,8,8,4,0,0,0,4,3,6,2,0,0,0,2,0,0,0,0.5,0.5,0.5,1,0.47,174.9,0.41,3100
박한이,2.74,125,567,472,83,156,22,2,9,209,80,7,6,61,5,1,74,9,24,5,0.331,0.409,0.443,0.852,0.374,108.8,2.78,45000
박해민,1.6,119,373,310,65,92,11,4,1,114,31,36,8,37,6,0,45,4,19,1,0.297,0.381,0.368,0.749,0.337,85.3,0.32,15000
이승엽,2.42,127,548,506,83,156,30,0,32,282,101,5,1,40,0,3,77,10,0,2,0.308,0.358,0.557,0.915,0.393,118.3,3.39,100000
이영욱,0,40,64,53,16,11,3,0,0,14,6,6,1,7,2,0,16,0,2,0,0.208,0.323,0.264,0.587,0.282,48.7,0.2,6000
이지영,0.6,99,299,266,37,74,10,3,3,99,32,3,3,14,2,0,33,5,13,4,0.278,0.315,0.372,0.687,0.299,60.3,-1.08,21000
이흥련,0.3,88,155,132,21,30,4,1,1,39,17,1,0,14,5,0,24,0,4,0,0.227,0.325,0.295,0.62,0.292,56,0.08,7500
조동찬,0.26,31,87,74,8,20,4,0,1,27,6,5,2,10,1,0,21,5,1,1,0.27,0.361,0.365,0.725,0.336,84,-0.23,22000
진갑용,0.12,11,17,17,2,7,0,0,0,7,4,0,0,0,0,0,1,0,0,0,0.412,0.412,0.412,0.824,0.387,118.7,-0.08,25000
채태인,2.29,124,541,492,69,156,38,1,14,238,99,1,0,41,2,1,91,8,0,6,0.317,0.368,0.484,0.852,0.378,109.7,3.28,21000
최형우,5.55,113,493,430,92,153,33,0,31,279,100,4,2,50,7,1,62,11,0,6,0.356,0.426,0.649,1.075,0.458,160.6,3.91,70000
강경학,0.21,41,103,86,11,19,2,3,1,30,7,0,0,13,2,0,28,1,2,0,0.221,0.337,0.349,0.686,0.316,65.6,-0.11,6500
김경언,1.69,89,355,300,43,94,16,3,8,140,52,1,3,40,4,0,42,8,7,4,0.313,0.397,0.467,0.863,0.382,110.4,2.49,20000
김태균,4.94,118,508,422,66,154,30,0,18,238,84,0,2,70,11,1,73,18,0,5,0.365,0.463,0.564,1.027,0.456,158.8,4.95,160000
김태완,0.23,89,214,186,26,48,8,0,7,77,39,0,0,24,3,1,51,10,0,1,0.258,0.351,0.414,0.764,0.346,88.2,0.1,8000
김회성,0.36,59,162,140,21,33,8,1,6,61,18,0,0,14,4,0,45,4,3,1,0.236,0.321,0.436,0.757,0.329,76.8,-0.62,5500
송광민,2.07,103,421,389,52,123,22,2,11,182,58,3,2,26,0,2,73,15,4,2,0.316,0.357,0.468,0.825,0.363,97.8,1.13,10000
송주호,-0.13,17,26,22,5,3,0,0,0,3,2,1,0,4,0,0,7,0,0,0,0.136,0.269,0.136,0.406,0.223,9.2,-0.14,4000
이시찬,0.17,45,119,105,14,30,4,0,0,34,9,4,1,10,0,0,19,3,3,1,0.286,0.345,0.324,0.669,0.31,64.1,-0.02,5100
이용규,0.09,104,418,358,62,103,12,4,0,123,20,12,11,52,5,0,46,5,2,1,0.288,0.385,0.344,0.728,0.349,88.2,-0.76,70000
이창열,0.07,22,25,21,5,4,2,1,0,8,3,1,0,3,1,0,6,0,0,0,0.19,0.32,0.381,0.701,0.321,68.2,0.18,3200
정근우,3.67,125,549,464,91,137,28,5,6,193,44,32,3,66,9,0,56,11,7,3,0.295,0.391,0.416,0.807,0.369,101.7,2.34,70000
정범모,0.54,85,212,186,18,47,10,0,6,75,23,1,0,17,1,0,39,8,5,3,0.253,0.314,0.403,0.717,0.314,66.9,-0.26,6000
조인성,1.15,63,154,136,14,33,7,0,6,58,27,0,0,13,2,0,34,4,1,2,0.243,0.314,0.426,0.74,0.326,74.9,0.7,40000
최진행,0.27,99,328,299,32,78,16,0,12,130,45,1,2,23,3,0,79,8,0,3,0.261,0.317,0.435,0.752,0.333,79.3,0.37,18500
한상훈,0.76,77,203,175,23,50,8,1,1,63,21,3,1,24,0,0,40,4,4,0,0.286,0.372,0.36,0.732,0.34,83.1,0.02,20000
