이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
이원재,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
양현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
노경은,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
함덕주,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최영진,-0.03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-132.4,-0.03,0
유민상,-0.06,15,45,38,5,10,1,0,1,14,6,1,0,5,1,0,9,1,0,1,0.263,0.356,0.368,0.724,0.336,95.9,-0.06,0.3
양종민,-0.13,32,18,16,6,2,0,0,1,5,2,0,1,2,0,0,5,0,0,0,0.125,0.222,0.313,0.535,0.24,39.8,-0.13,-0.09
장민석,-0.14,53,63,53,15,10,2,0,0,12,4,0,1,7,1,0,13,0,1,1,0.189,0.29,0.226,0.517,0.253,36.4,-0.14,-0.05
나바로,6.45,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,0.287,0.393,0.596,0.988,0.416,143.1,6.45,3.2
박석민,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,0.321,0.441,0.551,0.992,0.437,156.8,5.38,5.77
구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,0.349,0.417,0.534,0.951,0.422,148.4,4.99,1.81
최형우,4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,9,7,101,13,0,8,0.318,0.402,0.563,0.965,0.416,143.3,4.13,3.48
박해민,3.52,144,608,525,96,154,22,7,0,190,47,60,8,56,2,1,126,8,23,2,0.293,0.362,0.362,0.724,0.326,85.2,3.52,1.65
이승엽,3.14,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.949,0.412,140.4,3.14,2.52
김상수,2.78,132,518,449,67,125,30,4,8,187,63,26,5,43,6,0,56,9,13,7,0.278,0.345,0.416,0.761,0.335,89.9,2.78,1.24
채태인,1.99,104,373,333,35,116,19,0,8,159,49,0,2,33,3,3,92,10,0,4,0.348,0.408,0.477,0.885,0.397,131.9,1.99,1.39
박한이,1.93,94,429,367,62,110,17,4,11,168,52,6,6,53,1,0,63,11,7,1,0.3,0.389,0.458,0.846,0.377,118.2,1.93,0.65
이지영,1.03,124,400,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,0.305,0.333,0.346,0.68,0.303,69.6,1.03,0.71
진갑용,0.29,39,73,68,8,22,2,0,3,33,10,0,0,4,0,0,9,3,0,1,0.324,0.356,0.485,0.842,0.372,114.7,0.29,0.07
배영섭,0.16,4,18,16,2,6,0,0,0,6,2,1,0,2,0,0,4,2,0,0,0.375,0.444,0.375,0.819,0.393,130.8,0.16,0.09
백상원,0.13,52,94,77,10,19,5,0,0,24,7,0,0,13,1,0,22,2,2,1,0.247,0.359,0.312,0.67,0.316,77,0.13,-0.39
이정식,0.06,5,5,5,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.4,0.8,0.374,118.7,0.06,-0.07
박찬도,0.02,117,106,89,32,19,2,1,0,23,9,13,6,8,4,0,25,1,5,0,0.213,0.307,0.258,0.565,0.264,43.8,0.02,-0.58
윤영수,0.01,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0.01,-0.02
최민구,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,,,0,-132.4,0,0.36
정인욱,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심창민,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임창용,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박계범,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이영욱,-0.02,38,26,22,8,5,2,0,0,7,2,0,1,3,1,0,10,0,0,0,0.227,0.346,0.318,0.664,0.32,79.1,-0.02,-0.08
김태완,-0.09,4,6,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.167,0,0.167,0.122,-52.9,-0.09,-0.19
강봉규,-0.09,5,8,6,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0.25,0,0.25,0.187,-11.2,-0.09,-0.1
이흥련,-0.21,71,108,105,16,25,7,0,1,35,17,2,1,1,1,0,22,1,1,0,0.238,0.252,0.333,0.586,0.261,40.6,-0.21,-0.26
이상훈,-0.22,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,-132.4,-0.22,-0.17
김정혁,-0.23,17,20,18,3,3,0,0,0,3,1,0,0,1,0,0,3,0,1,0,0.167,0.211,0.167,0.377,0.177,-14.3,-0.23,-0.35
김재현,-0.43,73,48,41,7,7,0,0,0,7,5,0,0,5,0,0,11,1,2,0,0.171,0.261,0.171,0.432,0.213,9.2,-0.43,-0.07
최선호,-0.46,33,44,42,8,7,1,0,0,8,1,2,0,0,0,0,13,0,2,0,0.167,0.167,0.19,0.357,0.156,-27.9,-0.46,-0.61
우동균,-0.47,37,82,72,12,15,4,0,0,19,6,0,2,9,0,0,12,2,1,0,0.208,0.296,0.264,0.56,0.268,44.7,-0.47,-0.82
최정,3.23,81,330,275,43,81,17,0,17,149,58,5,2,46,5,2,78,6,1,3,0.295,0.401,0.542,0.943,0.41,143.2,3.23,1.39
정의윤,2.67,59,222,193,35,66,11,0,14,119,44,3,0,20,7,0,27,3,0,2,0.342,0.419,0.617,1.036,0.447,167.2,2.67,1.75
브라운,2.61,138,539,464,82,121,21,2,28,230,76,5,2,66,7,4,127,12,0,2,0.261,0.36,0.496,0.856,0.374,118.8,2.61,3.05
이명기,2.41,137,582,521,88,164,30,2,3,207,35,22,10,35,11,0,86,7,11,4,0.315,0.368,0.397,0.765,0.347,102.3,2.41,0.62
김성현,2.15,129,449,397,49,118,20,0,8,162,48,1,4,31,7,0,42,14,12,2,0.297,0.357,0.408,0.765,0.341,97.3,2.15,0.15
박정권,1.79,124,494,438,66,123,23,0,21,209,70,3,3,46,4,1,119,9,4,2,0.281,0.353,0.477,0.83,0.364,113,1.79,-0.4
이재원,1.68,140,559,489,58,138,18,1,17,209,100,1,3,54,11,5,85,22,0,5,0.282,0.363,0.427,0.791,0.355,106.7,1.68,1.41
정상호,1.51,113,324,279,34,71,11,1,12,120,49,1,2,22,15,0,80,2,8,0,0.254,0.342,0.43,0.772,0.34,97.1,1.51,0.53
김강민,1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7,0,83,6,4,1,0.246,0.315,0.345,0.66,0.302,72.9,1.03,-0.12
박재상,0.6,108,292,250,34,62,12,2,7,99,37,4,5,32,3,0,53,4,6,1,0.248,0.339,0.396,0.735,0.329,89.2,0.6,0.37
박진만,0.48,78,162,133,12,33,5,0,2,44,14,0,2,23,4,1,21,3,2,0,0.248,0.375,0.331,0.706,0.333,92.5,0.48,0.12
나주환,0.35,96,273,246,31,66,15,0,5,96,22,3,5,12,2,0,47,9,12,1,0.268,0.307,0.39,0.697,0.3,70.7,0.35,-0.73
조동화,0.19,119,304,245,38,64,6,1,2,78,15,18,3,30,5,0,50,2,22,2,0.261,0.351,0.318,0.669,0.297,68.3,0.19,-0.8
김기현,0.14,9,9,7,0,3,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0.429,0.556,0.429,0.984,0.475,190.2,0.14,-0.09
이대수,0.11,36,86,72,9,19,3,0,2,28,12,0,1,6,1,0,23,6,6,1,0.264,0.325,0.389,0.714,0.301,71.5,0.11,-0.46
허웅,0.11,18,19,17,2,5,1,0,0,6,3,0,0,2,0,0,3,0,0,0,0.294,0.368,0.353,0.721,0.341,98.5,0.11,-0.04
임훈,0.09,33,81,69,10,15,1,0,0,16,9,1,0,7,2,0,13,3,2,1,0.217,0.304,0.232,0.536,0.259,43.3,0.09,-0.55
이현석,0.09,3,3,3,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.333,0.333,1.333,1.667,0.641,289.8,0.09,0
윤중환,0.02,15,28,25,1,6,0,0,1,9,4,0,1,3,0,0,6,0,0,0,0.24,0.321,0.36,0.681,0.314,78.6,0.02,0.07
홍명찬,0.01,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.667,0.312,88.5,0.01,-0.09
김연훈,0.01,49,73,60,4,16,1,0,1,20,3,0,1,6,1,0,18,0,5,1,0.267,0.338,0.333,0.672,0.294,66.4,0.01,-0.48
이재영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이한진,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
윤길현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
고효준,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박정배,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이창욱,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
정우람,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
신재웅,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
서진용,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
오지환,4.44,138,566,497,76,138,41,4,11,220,56,25,10,59,4,1,121,2,3,3,0.278,0.357,0.443,0.8,0.357,110.3,4.44,2.4
박용택,3.85,128,533,487,66,159,28,2,18,245,83,11,4,34,4,1,73,12,1,7,0.326,0.37,0.503,0.873,0.384,131.3,3.85,1.35
히메네스,1.97,70,299,279,37,87,17,2,11,141,46,8,2,12,4,1,48,4,0,4,0.312,0.345,0.505,0.85,0.37,122.5,1.97,1.04
이병규,1.69,70,277,230,42,56,9,1,12,103,35,2,1,43,3,2,83,4,1,0,0.243,0.37,0.448,0.817,0.365,119,1.69,0.44
정성훈,1.68,117,440,363,47,103,16,1,9,148,45,9,4,54,13,5,65,9,6,4,0.284,0.392,0.408,0.799,0.361,113,1.68,1.78
임훈,1.44,55,215,183,34,55,11,1,1,71,15,2,2,19,7,0,31,2,5,1,0.301,0.386,0.388,0.774,0.354,104.5,1.44,0.84
유강남,1.33,126,313,279,26,76,11,1,8,113,37,2,1,19,7,0,55,10,7,1,0.272,0.333,0.405,0.738,0.328,91.4,1.33,-0.84
서상우,0.92,58,171,159,29,54,8,0,6,80,22,5,1,9,3,0,31,2,0,0,0.34,0.386,0.503,0.889,0.398,140,0.92,1.14
한나한,0.76,32,126,107,17,35,9,0,4,56,22,0,0,12,3,0,31,4,1,3,0.327,0.4,0.523,0.923,0.403,143.3,0.76,0.84
채은성,0.38,90,198,173,25,43,11,2,4,70,20,3,3,14,5,1,39,4,3,3,0.249,0.318,0.405,0.723,0.317,83.5,0.38,-0.55
안익훈,0.37,50,74,62,9,21,2,1,0,25,3,1,1,9,0,0,10,1,3,0,0.339,0.423,0.403,0.826,0.372,114.7,0.37,-0.31
이진영,0.23,103,350,301,32,77,5,1,9,111,39,2,4,42,3,4,55,10,2,2,0.256,0.351,0.369,0.719,0.328,91.3,0.23,0.22
김용의,0.21,71,199,171,30,43,5,1,0,50,15,11,6,22,3,1,38,3,3,0,0.251,0.347,0.292,0.639,0.304,69.8,0.21,-0.6
백창수,0.18,25,36,31,4,10,4,0,0,14,0,0,0,3,0,0,3,0,2,0,0.323,0.382,0.452,0.834,0.358,108.8,0.18,0.02
정의윤,0.13,32,75,66,3,17,3,0,0,20,7,2,0,6,2,0,19,3,0,1,0.258,0.333,0.303,0.636,0.304,70.1,0.13,0.11
황목치승,0.03,24,74,71,13,19,3,1,0,24,8,2,0,2,0,0,10,2,0,1,0.268,0.284,0.338,0.622,0.282,55,0.03,-0.5
양원혁,0,3,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.468,177.7,0,0
신승현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
윤지웅,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김선규,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
유원상,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최동환,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이준형,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
봉중근,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
진해수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이동현,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김지용,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박성준,-0.01,11,12,10,3,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0.2,0.333,0.2,0.533,0.278,53.1,-0.01,0.01
나성용,-0.06,40,79,73,7,20,2,0,3,31,9,0,0,4,2,0,29,2,0,0,0.274,0.329,0.425,0.754,0.339,99.7,-0.06,-0.31
이민재,-0.07,28,34,30,6,8,1,0,0,9,4,0,1,1,1,0,8,0,1,1,0.267,0.303,0.3,0.603,0.274,49.4,-0.07,-0.06
이범호,3.34,138,514,437,60,118,25,0,28,227,79,3,4,57,16,1,91,16,0,4,0.27,0.372,0.519,0.891,0.389,125.2,3.34,2.74
김주찬,2.57,98,377,333,66,109,23,2,18,190,62,8,2,23,12,3,58,10,1,8,0.327,0.383,0.571,0.954,0.408,137.3,2.57,1.7
필,2.44,143,591,536,81,174,35,1,22,277,101,14,10,43,3,6,74,12,0,9,0.325,0.372,0.517,0.889,0.387,123.8,2.44,5.91
신종길,1.46,99,348,313,56,82,13,4,5,118,28,19,5,25,6,0,80,3,4,0,0.262,0.329,0.377,0.706,0.32,78.4,1.46,1.93
김원섭,1.26,110,341,277,45,74,13,3,5,108,33,8,5,53,3,0,46,5,6,2,0.267,0.388,0.39,0.778,0.357,103.2,1.26,0.82
백용환,0.7,65,177,154,22,36,6,0,10,72,30,3,1,19,1,0,47,5,0,3,0.234,0.316,0.468,0.784,0.34,92.3,0.7,1
나지완,0.59,116,368,304,34,77,16,0,7,114,31,3,1,46,16,3,79,10,0,2,0.253,0.378,0.375,0.753,0.351,99.2,0.59,-0.71
이홍구,0.39,112,246,222,25,48,10,1,12,96,39,1,0,12,7,1,64,3,5,0,0.216,0.278,0.432,0.71,0.303,67,0.39,0.46
박기남,0.1,51,93,69,8,14,3,0,0,17,3,1,1,21,0,0,19,3,3,0,0.203,0.389,0.246,0.635,0.317,77.4,0.1,-0.15
김다원,0.06,108,274,245,31,60,9,0,5,84,30,1,0,15,12,0,67,8,0,2,0.245,0.318,0.343,0.66,0.307,70.4,0.06,-0.58
황대인,0.05,22,44,44,3,12,2,0,2,20,7,0,0,0,0,0,18,3,0,0,0.273,0.273,0.455,0.727,0.315,74.1,0.05,-0.58
김병현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박준표,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최영필,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
심동섭,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김태영,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
에반,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
한기주,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김광수,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
윤석민,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
한승혁,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
홍건희,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
험버,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
박정수,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김준,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
문경찬,-0.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-0.01,0
최병연,-0.01,19,7,6,2,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.167,0.286,0.167,0.452,0.242,26.5,-0.01,0.1
스틴슨,-0.03,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,-0.03,-0.1
전현태,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-132.4,-0.05,-0.08
황수현,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-132.4,-0.05,0
