이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
김사연,-0.01,72,248,228,31,58,7,1,7,88,27,15,5,16,1,1,75,3,3,0,0.254,0.306,0.386,0.692,0.307,70.6,-0.81,4500
김상현,1.85,134,539,475,71,133,20,0,27,234,88,4,5,50,8,4,115,21,0,6,0.28,0.354,0.493,0.847,0.369,113.2,0.54,20000
김선민,0.45,23,38,35,2,15,2,0,0,17,3,1,0,2,0,0,6,0,0,1,0.429,0.447,0.486,0.933,0.425,147.3,0.17,3200
댄블랙,1.77,54,225,198,25,66,10,1,12,114,32,0,0,25,2,2,52,4,0,0,0.333,0.413,0.576,0.989,0.43,153.6,1.89,25000
마르테,4.83,115,487,425,85,148,32,1,20,242,89,0,0,51,2,7,60,19,0,8,0.348,0.414,0.569,0.983,0.424,149,3.2,75000
박경수,4.57,137,537,440,75,125,30,1,22,223,73,6,4,74,13,1,115,8,6,4,0.284,0.399,0.507,0.906,0.397,131,1.12,23000
박기혁,0,126,350,300,27,84,13,1,1,102,30,3,0,30,3,0,84,10,16,1,0.28,0.35,0.34,0.69,0.311,71.7,-1.06,15000
박용근,0.22,27,86,76,7,20,6,0,0,26,4,5,2,7,0,0,15,4,3,0,0.263,0.325,0.342,0.667,0.301,65.1,-0.5,4000
오정복,0.49,66,278,239,34,62,11,1,5,90,29,3,3,33,3,0,26,3,2,1,0.259,0.355,0.377,0.732,0.337,90.4,1.9,8000
윤요섭,0.03,74,159,148,17,39,4,0,9,70,28,0,1,6,1,0,39,5,2,2,0.264,0.293,0.473,0.766,0.326,85.2,-0.6,6500
이대형,2.18,140,616,546,86,165,23,3,0,194,37,44,14,53,6,0,92,5,10,1,0.302,0.37,0.355,0.725,0.337,88.9,1.54,30000
장성우,3.03,111,435,384,51,111,18,0,10,159,65,1,2,41,0,1,73,9,2,8,0.289,0.351,0.414,0.765,0.343,94.6,1.71,6500
장성호,0.35,49,114,94,11,29,4,0,1,36,16,1,0,17,2,0,15,3,0,1,0.309,0.421,0.383,0.804,0.381,118.4,0.11,10000
하준호,1.25,68,249,218,30,59,9,0,5,83,25,10,3,21,7,1,59,2,2,1,0.271,0.352,0.381,0.733,0.335,88.6,0.91,6000
김동명,-0.26,21,41,37,3,5,0,0,3,14,5,0,0,3,1,0,14,2,0,0,0.135,0.22,0.378,0.598,0.258,33.2,-0.46,3100
김사연,-0.15,20,63,56,6,14,1,0,0,15,4,1,2,7,0,0,10,3,0,0,0.25,0.333,0.268,0.601,0.298,58.8,-0.28,4000
김선민,-0.04,32,63,50,7,11,0,0,0,11,2,3,1,10,1,0,14,3,2,0,0.22,0.361,0.22,0.581,0.296,57.1,-0.21,3000
김영환,-0.15,12,12,12,2,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.167,0.167,0.167,0.333,0.157,-32.5,0.01,3700
김진곤,-0.12,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,0.118,-57.6,-0.18,3000
마르테,2.27,91,381,325,52,86,16,0,22,168,74,0,0,50,1,0,51,12,0,5,0.265,0.36,0.517,0.877,0.382,113.9,2,75000
박경수,4.04,121,476,402,64,126,22,1,20,210,80,3,1,65,5,2,80,9,0,4,0.313,0.412,0.522,0.934,0.415,135,2.22,23000
박기혁,0.1,117,348,308,36,84,13,0,2,103,34,0,2,27,1,0,53,8,10,2,0.273,0.331,0.334,0.666,0.306,64.1,-0.29,15000
박용근,-0.02,31,86,74,5,17,4,1,1,26,6,0,1,11,0,0,14,1,0,1,0.23,0.326,0.351,0.677,0.316,71,-0.1,3800
배정대,-0.12,65,55,50,10,13,1,0,0,14,3,2,1,4,0,0,18,0,1,0,0.26,0.315,0.28,0.595,0.283,48.6,0.08,3500
신현철,0.05,35,25,24,3,7,2,0,0,9,2,0,0,0,1,0,12,0,0,0,0.292,0.32,0.375,0.695,0.322,72.1,-0.08,3000
심우준,-0.22,122,251,236,36,57,9,1,3,77,17,17,1,8,0,0,40,5,5,2,0.242,0.264,0.326,0.591,0.264,37,-0.81,5000
오정복,0.67,96,344,306,45,93,11,2,5,123,36,1,0,28,0,1,32,5,6,4,0.304,0.358,0.402,0.76,0.343,88.3,0.23,7000
유민상,0.55,95,254,213,30,60,12,1,4,86,37,1,1,25,9,0,39,8,3,4,0.282,0.375,0.404,0.778,0.357,97.6,0.44,4500
유한준,3.29,110,460,408,70,137,22,0,14,201,64,4,1,47,2,1,40,10,0,3,0.336,0.404,0.493,0.897,0.405,128.6,3.42,60000
윤요섭,0.46,66,149,126,14,30,6,0,6,54,16,1,1,20,3,1,24,7,0,0,0.238,0.356,0.429,0.784,0.355,96,0.17,5600
