이름,WAR,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC,WPA,target,WAR_min_max,WPA_min_max,wRC_min_max,OPS_min_max,타수1,득점1,안타1,X2타1,X3타1,홈런1,루타1,타점1,도루1,도실1,볼넷1,사구1,고41,삼진1,병살1,희타1,희비1
박기혁,0.0,126.0,350.0,300.0,27.0,84.0,13.0,1.0,1.0,102.0,30.0,3.0,0.0,30.0,3.0,0.0,84.0,10.0,16.0,1.0,0.28,0.35,0.34,0.69,0.311,71.7,-1.06,15000.0,0.042039355992844356,0.08735868448098662,0.5602508178844057,0.5357142857142857,0.8571428571428571,0.07714285714285714,0.24,0.037142857142857144,0.002857142857142857,0.002857142857142857,0.2914285714285714,0.08571428571428572,0.008571428571428572,0.0,0.08571428571428572,0.008571428571428572,0.0,0.24,0.02857142857142857,0.045714285714285714,0.002857142857142857
박용근,0.22,27.0,86.0,76.0,7.0,20.0,6.0,0.0,0.0,26.0,4.0,5.0,2.0,7.0,0.0,0.0,15.0,4.0,3.0,0.0,0.263,0.325,0.342,0.667,0.301,65.1,-0.5,4000.0,0.06171735241502682,0.144912641315519,0.542257360959651,0.5178571428571429,0.8837209302325582,0.08139534883720931,0.23255813953488372,0.06976744186046512,0.0,0.0,0.3023255813953488,0.046511627906976744,0.05813953488372093,0.023255813953488372,0.08139534883720931,0.0,0.0,0.1744186046511628,0.046511627906976744,0.03488372093023256,0.0
오정복,0.49,66.0,278.0,239.0,34.0,62.0,11.0,1.0,5.0,90.0,29.0,3.0,3.0,33.0,3.0,0.0,26.0,3.0,2.0,1.0,0.259,0.355,0.377,0.732,0.337,90.4,1.9,8000.0,0.08586762075134166,0.39157245632065774,0.6112322791712105,0.5683229813664596,0.8597122302158273,0.1223021582733813,0.22302158273381295,0.039568345323741004,0.0035971223021582736,0.017985611510791366,0.3237410071942446,0.10431654676258993,0.01079136690647482,0.01079136690647482,0.11870503597122302,0.01079136690647482,0.0,0.09352517985611511,0.01079136690647482,0.007194244604316547,0.0035971223021582736
윤요섭,0.03,74.0,159.0,148.0,17.0,39.0,4.0,0.0,9.0,70.0,28.0,0.0,1.0,6.0,1.0,0.0,39.0,5.0,2.0,2.0,0.264,0.293,0.473,0.766,0.326,85.2,-0.6,6500.0,0.04472271914132378,0.1346351490236382,0.5970556161395857,0.59472049689441,0.9308176100628931,0.1069182389937107,0.24528301886792453,0.025157232704402517,0.0,0.05660377358490566,0.44025157232704404,0.1761006289308176,0.0,0.006289308176100629,0.03773584905660377,0.006289308176100629,0.0,0.24528301886792453,0.031446540880503145,0.012578616352201259,0.012578616352201259
이대형,2.18,140.0,616.0,546.0,86.0,165.0,23.0,3.0,0.0,194.0,37.0,44.0,14.0,53.0,6.0,0.0,92.0,5.0,10.0,1.0,0.302,0.37,0.355,0.725,0.337,88.9,1.54,30000.0,0.2370304114490161,0.354573484069887,0.6071428571428572,0.562888198757764,0.8863636363636364,0.1396103896103896,0.26785714285714285,0.037337662337662336,0.00487012987012987,0.0,0.31493506493506496,0.060064935064935064,0.07142857142857142,0.022727272727272728,0.08603896103896104,0.00974025974025974,0.0,0.14935064935064934,0.008116883116883116,0.016233766233766232,0.0016233766233766235
장성우,3.03,111.0,435.0,384.0,51.0,111.0,18.0,0.0,10.0,159.0,65.0,1.0,2.0,41.0,0.0,1.0,73.0,9.0,2.0,8.0,0.289,0.351,0.414,0.765,0.343,94.6,1.71,6500.0,0.3130590339892665,0.3720452209660843,0.6226826608505998,0.593944099378882,0.8827586206896552,0.11724137931034483,0.25517241379310346,0.041379310344827586,0.0,0.022988505747126436,0.36551724137931035,0.14942528735632185,0.0022988505747126436,0.004597701149425287,0.09425287356321839,0.0,0.0022988505747126436,0.167816091954023,0.020689655172413793,0.004597701149425287,0.01839080459770115
장성호,0.35,49.0,114.0,94.0,11.0,29.0,4.0,0.0,1.0,36.0,16.0,1.0,0.0,17.0,2.0,0.0,15.0,3.0,0.0,1.0,0.309,0.421,0.383,0.804,0.381,118.4,0.11,10000.0,0.073345259391771,0.20760534429599176,0.6875681570338059,0.6242236024844721,0.8245614035087719,0.09649122807017543,0.2543859649122807,0.03508771929824561,0.0,0.008771929824561403,0.3157894736842105,0.14035087719298245,0.008771929824561403,0.0,0.14912280701754385,0.017543859649122806,0.0,0.13157894736842105,0.02631578947368421,0.0,0.008771929824561403
하준호,1.25,68.0,249.0,218.0,30.0,59.0,9.0,0.0,5.0,83.0,25.0,10.0,3.0,21.0,7.0,1.0,59.0,2.0,2.0,1.0,0.271,0.352,0.381,0.733,0.335,88.6,0.91,6000.0,0.15384615384615383,0.289825282631038,0.6063249727371864,0.5690993788819876,0.8755020080321285,0.12048192771084337,0.23694779116465864,0.03614457831325301,0.0,0.020080321285140562,0.3333333333333333,0.10040160642570281,0.040160642570281124,0.012048192771084338,0.08433734939759036,0.028112449799196786,0.004016064257028112,0.23694779116465864,0.008032128514056224,0.008032128514056224,0.004016064257028112
김동명,-0.26,21.0,41.0,37.0,3.0,5.0,0.0,0.0,3.0,14.0,5.0,0.0,0.0,3.0,1.0,0.0,14.0,2.0,0.0,0.0,0.135,0.22,0.378,0.598,0.258,33.2,-0.46,3100.0,0.018783542039355984,0.14902363823227133,0.455288985823337,0.4642857142857143,0.9024390243902439,0.07317073170731707,0.12195121951219512,0.0,0.0,0.07317073170731707,0.34146341463414637,0.12195121951219512,0.0,0.0,0.07317073170731707,0.024390243902439025,0.0,0.34146341463414637,0.04878048780487805,0.0,0.0
김사연,-0.15,20.0,63.0,56.0,6.0,14.0,1.0,0.0,0.0,15.0,4.0,1.0,2.0,7.0,0.0,0.0,10.0,3.0,0.0,0.0,0.25,0.333,0.268,0.601,0.298,58.8,-0.28,4000.0,0.02862254025044722,0.1675231243576567,0.5250817884405671,0.4666149068322981,0.8888888888888888,0.09523809523809523,0.2222222222222222,0.015873015873015872,0.0,0.0,0.23809523809523808,0.06349206349206349,0.015873015873015872,0.031746031746031744,0.1111111111111111,0.0,0.0,0.15873015873015872,0.047619047619047616,0.0,0.0
김선민,-0.04,32.0,63.0,50.0,7.0,11.0,0.0,0.0,0.0,11.0,2.0,3.0,1.0,10.0,1.0,0.0,14.0,3.0,2.0,0.0,0.22,0.361,0.22,0.581,0.296,57.1,-0.21,3000.0,0.03846153846153845,0.17471736896197326,0.5204471101417667,0.45108695652173914,0.7936507936507936,0.1111111111111111,0.1746031746031746,0.0,0.0,0.0,0.1746031746031746,0.031746031746031744,0.047619047619047616,0.015873015873015872,0.15873015873015872,0.015873015873015872,0.0,0.2222222222222222,0.047619047619047616,0.031746031746031744,0.0
김영환,-0.15,12.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,0.157,-32.5,0.01,3700.0,0.02862254025044722,0.197327852004111,0.2761723009814613,0.2585403726708075,1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
김진곤,-0.12,13.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.118,-57.6,-0.18,3000.0,0.03130590339892665,0.1778006166495375,0.20774263904034898,0.19409937888198758,1.0,0.125,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
마르테,2.27,91.0,381.0,325.0,52.0,86.0,16.0,0.0,22.0,168.0,74.0,0.0,0.0,50.0,1.0,0.0,51.0,12.0,0.0,5.0,0.265,0.36,0.517,0.877,0.382,113.9,2.0,75000.0,0.24508050089445435,0.40184994861253853,0.675299890948746,0.6809006211180124,0.8530183727034121,0.13648293963254593,0.22572178477690288,0.04199475065616798,0.0,0.05774278215223097,0.4409448818897638,0.1942257217847769,0.0,0.0,0.13123359580052493,0.0026246719160104987,0.0,0.13385826771653545,0.031496062992125984,0.0,0.013123359580052493
박경수,4.04,121.0,476.0,402.0,64.0,126.0,22.0,1.0,20.0,210.0,80.0,3.0,1.0,65.0,5.0,2.0,80.0,9.0,0.0,4.0,0.313,0.412,0.522,0.934,0.415,135.0,2.22,23000.0,0.4033989266547406,0.4244604316546763,0.732824427480916,0.7251552795031057,0.8445378151260504,0.13445378151260504,0.2647058823529412,0.046218487394957986,0.0021008403361344537,0.04201680672268908,0.4411764705882353,0.16806722689075632,0.0063025210084033615,0.0021008403361344537,0.13655462184873948,0.01050420168067227,0.004201680672268907,0.16806722689075632,0.018907563025210083,0.0,0.008403361344537815
박기혁,0.1,117.0,348.0,308.0,36.0,84.0,13.0,0.0,2.0,103.0,34.0,0.0,2.0,27.0,1.0,0.0,53.0,8.0,10.0,2.0,0.273,0.331,0.334,0.666,0.306,64.1,-0.29,15000.0,0.05098389982110911,0.16649537512846865,0.5395310796074155,0.517080745341615,0.8850574712643678,0.10344827586206896,0.2413793103448276,0.03735632183908046,0.0,0.005747126436781609,0.2959770114942529,0.09770114942528736,0.0,0.005747126436781609,0.07758620689655173,0.0028735632183908046,0.0,0.15229885057471265,0.022988505747126436,0.028735632183908046,0.005747126436781609
박용근,-0.02,31.0,86.0,74.0,5.0,17.0,4.0,1.0,1.0,26.0,6.0,0.0,1.0,11.0,0.0,0.0,14.0,1.0,0.0,1.0,0.23,0.326,0.351,0.677,0.316,71.0,-0.1,3800.0,0.040250447227191406,0.18602261048304214,0.5583424209378408,0.5256211180124224,0.8604651162790697,0.05813953488372093,0.19767441860465115,0.046511627906976744,0.011627906976744186,0.011627906976744186,0.3023255813953488,0.06976744186046512,0.0,0.011627906976744186,0.12790697674418605,0.0,0.0,0.16279069767441862,0.011627906976744186,0.0,0.011627906976744186
